			tree	tree	kappa	kappa	p	p	q	q	p_k1	p_k1	p_k2	p_k2	p_k3	p_k3	p_k4	p_k4	p_k5	p_k5	p_k6	p_k6	p_k7	p_k7	p_k8	p_k8	p_k9	p_k9	p_k10	p_k10	w_k1	w_k1	w_k2	w_k2	w_k3	w_k3	w_k4	w_k4	w_k5	w_k5	w_k6	w_k6	w_k7	w_k7	w_k8	w_k8	w_k9	w_k9	w_k10	w_k10
MEP1A	4.0	mix_2	12.918	(12.225, 13.643)	3.46	(3.258, 3.716)	8.295	(5.611, 11.717)	7.675	(5.025, 10.761)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.315	(0.279, 0.356)	0.388	(0.359, 0.419)	0.434	(0.407, 0.459)	0.471	(0.445, 0.496)	0.504	(0.479, 0.528)	0.537	(0.513, 0.563)	0.57	(0.547, 0.597)	0.606	(0.581, 0.64)	0.651	(0.619, 0.69)	0.721	(0.682, 0.767)
MEP1A	4.0	mix_3	17.145	(16.47, 17.894)	3.457	(3.253, 3.683)	6.332	(3.872, 12.183)	1.47	(0.764, 2.85)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.547	(0.482, 0.623)	0.674	(0.622, 0.726)	0.742	(0.699, 0.791)	0.79	(0.75, 0.843)	0.828	(0.787, 0.882)	0.861	(0.818, 0.914)	0.891	(0.846, 0.941)	0.919	(0.875, 0.963)	0.946	(0.905, 0.982)	0.975	(0.942, 0.996)
MEP1A	4.0	mix_4	12.518	(11.873, 13.07)	3.452	(3.196, 3.703)	1.873	(1.587, 2.192)	2.002	(1.589, 2.532)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.12	(0.1, 0.139)	0.225	(0.204, 0.245)	0.306	(0.285, 0.329)	0.378	(0.355, 0.406)	0.447	(0.418, 0.479)	0.515	(0.481, 0.552)	0.585	(0.546, 0.625)	0.66	(0.614, 0.704)	0.745	(0.695, 0.791)	0.858	(0.812, 0.897)
MEP1A	4.0	mix_5	15.714	(15.087, 16.356)	3.477	(3.218, 3.661)	3.741	(2.969, 4.844)	1.541	(1.135, 2.167)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.367	(0.328, 0.398)	0.506	(0.475, 0.54)	0.59	(0.559, 0.63)	0.656	(0.623, 0.698)	0.712	(0.674, 0.756)	0.762	(0.722, 0.807)	0.809	(0.766, 0.854)	0.855	(0.811, 0.897)	0.901	(0.859, 0.937)	0.954	(0.922, 0.977)
MEP1A	8.0	mix_1	8.407	(8.015, 8.82)	3.396	(3.107, 3.646)	2.766	(2.083, 3.579)	9.464	(6.891, 12.575)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.065	(0.05, 0.078)	0.107	(0.091, 0.119)	0.139	(0.123, 0.151)	0.168	(0.153, 0.18)	0.196	(0.18, 0.211)	0.226	(0.211, 0.242)	0.259	(0.243, 0.278)	0.299	(0.279, 0.323)	0.35	(0.324, 0.378)	0.441	(0.403, 0.481)
MEP1A	8.0	mix_2	12.819	(12.231, 13.451)	3.511	(3.264, 3.832)	7.186	(4.902, 12.194)	6.269	(4.056, 10.597)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.312	(0.274, 0.362)	0.392	(0.363, 0.427)	0.442	(0.418, 0.474)	0.483	(0.46, 0.51)	0.52	(0.496, 0.548)	0.555	(0.528, 0.587)	0.591	(0.558, 0.63)	0.631	(0.593, 0.676)	0.679	(0.631, 0.73)	0.752	(0.692, 0.809)
MEP1A	8.0	mix_3	17.051	(16.24, 18.002)	3.464	(3.238, 3.671)	5.575	(1.6, 8.682)	1.183	(0.291, 2.04)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.55	(0.494, 0.618)	0.682	(0.647, 0.739)	0.749	(0.716, 0.803)	0.798	(0.762, 0.849)	0.843	(0.796, 0.885)	0.88	(0.834, 0.962)	0.909	(0.862, 0.976)	0.935	(0.891, 0.987)	0.959	(0.92, 0.994)	0.984	(0.957, 0.999)
MEP1A	8.0	mix_4	12.403	(11.752, 13.008)	3.432	(3.199, 3.71)	1.778	(1.52, 2.049)	1.789	(1.479, 2.154)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.119	(0.099, 0.141)	0.229	(0.204, 0.256)	0.314	(0.29, 0.342)	0.391	(0.365, 0.419)	0.463	(0.436, 0.492)	0.535	(0.505, 0.567)	0.607	(0.573, 0.642)	0.684	(0.647, 0.722)	0.769	(0.731, 0.808)	0.879	(0.845, 0.911)
MEP1A	8.0	mix_5	15.672	(15.025, 16.549)	3.442	(3.2, 3.699)	3.507	(2.811, 4.43)	1.342	(0.98, 1.956)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.37	(0.326, 0.411)	0.516	(0.48, 0.555)	0.605	(0.567, 0.645)	0.674	(0.637, 0.713)	0.731	(0.692, 0.77)	0.782	(0.739, 0.82)	0.829	(0.782, 0.866)	0.874	(0.825, 0.909)	0.918	(0.873, 0.948)	0.965	(0.932, 0.984)
MYB	1.0	mix_1	4.482	(4.225, 4.741)	2.903	(2.637, 3.162)	4.126	(2.612, 6.451)	16.241	(9.978, 25.31)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.076	(0.054, 0.099)	0.111	(0.089, 0.131)	0.137	(0.117, 0.154)	0.159	(0.143, 0.173)	0.181	(0.167, 0.196)	0.204	(0.189, 0.221)	0.229	(0.211, 0.251)	0.258	(0.236, 0.286)	0.297	(0.267, 0.333)	0.367	(0.321, 0.421)
MYB	1.0	mix_2	6.705	(6.34, 7.051)	2.859	(2.553, 3.089)	25.647	(6.949, 99.0)	26.03	(6.62, 98.937)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.354	(0.281, 0.45)	0.406	(0.352, 0.471)	0.438	(0.4, 0.486)	0.464	(0.431, 0.499)	0.487	(0.456, 0.51)	0.51	(0.478, 0.537)	0.533	(0.495, 0.568)	0.559	(0.508, 0.606)	0.591	(0.525, 0.655)	0.643	(0.549, 0.731)
MYB	1.0	mix_3	8.858	(8.362, 9.288)	2.905	(2.642, 3.217)	32.607	(5.168, 99.0)	8.486	(1.139, 29.477)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.638	(0.522, 0.759)	0.709	(0.629, 0.79)	0.747	(0.685, 0.807)	0.775	(0.724, 0.826)	0.799	(0.748, 0.859)	0.82	(0.763, 0.887)	0.841	(0.779, 0.912)	0.862	(0.793, 0.936)	0.884	(0.809, 0.96)	0.915	(0.829, 0.985)
MYB	1.0	mix_4	6.433	(6.121, 6.775)	2.887	(2.636, 3.252)	2.032	(1.658, 2.679)	2.324	(1.752, 3.313)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.123	(0.1, 0.155)	0.223	(0.194, 0.254)	0.298	(0.269, 0.327)	0.366	(0.336, 0.396)	0.43	(0.396, 0.464)	0.494	(0.46, 0.531)	0.56	(0.522, 0.599)	0.632	(0.584, 0.676)	0.715	(0.661, 0.763)	0.83	(0.771, 0.877)
MYB	1.0	mix_5	8.15	(7.741, 8.515)	2.902	(2.693, 3.208)	5.103	(3.24, 9.548)	2.231	(1.245, 3.879)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.398	(0.335, 0.476)	0.518	(0.468, 0.565)	0.591	(0.545, 0.635)	0.648	(0.606, 0.692)	0.696	(0.647, 0.748)	0.741	(0.689, 0.793)	0.783	(0.729, 0.835)	0.825	(0.768, 0.878)	0.87	(0.813, 0.923)	0.927	(0.875, 0.969)
MYB	2.0	mix_1	4.707	(4.455, 4.993)	3.164	(2.884, 3.527)	4.1	(2.6, 8.226)	16.015	(9.898, 34.231)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.075	(0.053, 0.104)	0.111	(0.089, 0.134)	0.137	(0.117, 0.156)	0.16	(0.143, 0.175)	0.182	(0.168, 0.195)	0.205	(0.19, 0.219)	0.231	(0.212, 0.248)	0.26	(0.238, 0.281)	0.3	(0.266, 0.325)	0.37	(0.309, 0.412)
MYB	2.0	mix_2	7.026	(6.694, 7.354)	3.103	(2.795, 3.377)	19.245	(6.86, 97.582)	19.181	(6.873, 95.881)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.35	(0.283, 0.441)	0.405	(0.356, 0.467)	0.439	(0.402, 0.482)	0.466	(0.439, 0.502)	0.491	(0.466, 0.523)	0.515	(0.486, 0.547)	0.54	(0.502, 0.578)	0.568	(0.517, 0.615)	0.601	(0.537, 0.655)	0.656	(0.562, 0.722)
MYB	2.0	mix_3	9.262	(8.785, 9.77)	3.156	(2.866, 3.481)	16.56	(3.407, 99.0)	4.056	(0.593, 23.723)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.585	(0.484, 0.745)	0.684	(0.624, 0.779)	0.741	(0.691, 0.808)	0.78	(0.728, 0.844)	0.812	(0.759, 0.885)	0.84	(0.79, 0.923)	0.866	(0.812, 0.952)	0.891	(0.826, 0.973)	0.917	(0.841, 0.989)	0.948	(0.861, 0.998)
MYB	2.0	mix_4	6.727	(6.279, 7.156)	3.199	(2.928, 3.522)	1.956	(1.589, 2.655)	2.192	(1.666, 3.038)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.12	(0.095, 0.159)	0.221	(0.193, 0.26)	0.299	(0.27, 0.336)	0.368	(0.336, 0.406)	0.435	(0.402, 0.474)	0.501	(0.465, 0.542)	0.568	(0.529, 0.612)	0.641	(0.595, 0.688)	0.726	(0.668, 0.774)	0.841	(0.781, 0.888)
MYB	2.0	mix_5	8.543	(8.074, 8.925)	3.135	(2.842, 3.47)	4.308	(2.713, 6.729)	1.867	(1.081, 2.954)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.378	(0.311, 0.45)	0.512	(0.457, 0.567)	0.589	(0.541, 0.635)	0.65	(0.602, 0.691)	0.701	(0.652, 0.749)	0.748	(0.7, 0.797)	0.793	(0.744, 0.845)	0.837	(0.787, 0.891)	0.883	(0.835, 0.934)	0.939	(0.897, 0.977)
MYB	4.0	mix_1	4.867	(4.542, 5.223)	3.318	(3.016, 3.644)	3.07	(2.147, 5.099)	11.598	(7.798, 18.739)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.064	(0.048, 0.088)	0.102	(0.084, 0.125)	0.131	(0.113, 0.153)	0.157	(0.141, 0.177)	0.182	(0.169, 0.198)	0.209	(0.194, 0.226)	0.239	(0.222, 0.259)	0.274	(0.253, 0.3)	0.321	(0.291, 0.353)	0.404	(0.354, 0.454)
MYB	4.0	mix_2	7.252	(6.836, 7.664)	3.335	(3.017, 3.724)	7.266	(4.218, 14.526)	6.955	(3.93, 13.979)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.293	(0.241, 0.354)	0.37	(0.334, 0.414)	0.419	(0.393, 0.449)	0.459	(0.433, 0.484)	0.495	(0.466, 0.518)	0.531	(0.496, 0.556)	0.567	(0.527, 0.599)	0.606	(0.56, 0.646)	0.654	(0.593, 0.701)	0.729	(0.648, 0.79)
MYB	4.0	mix_3	9.58	(9.139, 10.021)	3.323	(3.062, 3.659)	4.93	(1.335, 8.399)	1.223	(0.266, 2.266)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.499	(0.416, 0.612)	0.642	(0.577, 0.728)	0.716	(0.667, 0.794)	0.776	(0.721, 0.844)	0.823	(0.778, 0.95)	0.86	(0.813, 0.965)	0.893	(0.844, 0.977)	0.923	(0.876, 0.987)	0.951	(0.908, 0.995)	0.98	(0.948, 0.999)
MYB	4.0	mix_4	6.938	(6.499, 7.386)	3.336	(3.074, 3.633)	1.792	(1.427, 2.138)	1.958	(1.514, 2.389)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.112	(0.084, 0.137)	0.216	(0.183, 0.242)	0.297	(0.259, 0.325)	0.37	(0.328, 0.404)	0.44	(0.394, 0.48)	0.51	(0.462, 0.555)	0.581	(0.532, 0.63)	0.657	(0.609, 0.709)	0.744	(0.695, 0.799)	0.859	(0.817, 0.907)
MYB	4.0	mix_5	8.85	(8.451, 9.331)	3.334	(3.076, 3.642)	3.369	(2.528, 4.538)	1.395	(0.927, 2.033)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.348	(0.297, 0.403)	0.493	(0.45, 0.538)	0.584	(0.544, 0.625)	0.654	(0.612, 0.7)	0.713	(0.667, 0.76)	0.766	(0.715, 0.81)	0.816	(0.762, 0.859)	0.862	(0.811, 0.905)	0.909	(0.862, 0.947)	0.96	(0.927, 0.984)
MYB	8.0	mix_1	4.846	(4.546, 5.111)	3.369	(3.044, 3.704)	2.62	(1.91, 3.943)	9.434	(6.607, 14.571)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.059	(0.042, 0.081)	0.099	(0.081, 0.12)	0.13	(0.114, 0.149)	0.158	(0.142, 0.175)	0.187	(0.171, 0.203)	0.217	(0.2, 0.234)	0.25	(0.231, 0.273)	0.289	(0.267, 0.32)	0.342	(0.307, 0.383)	0.434	(0.373, 0.492)
MYB	8.0	mix_2	7.3	(6.889, 7.641)	3.367	(3.08, 3.663)	5.041	(3.3, 7.941)	4.551	(2.826, 7.407)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.266	(0.212, 0.314)	0.357	(0.312, 0.394)	0.415	(0.38, 0.45)	0.463	(0.429, 0.494)	0.507	(0.475, 0.537)	0.55	(0.517, 0.581)	0.593	(0.555, 0.63)	0.64	(0.599, 0.681)	0.695	(0.648, 0.743)	0.779	(0.72, 0.835)
MYB	8.0	mix_3	9.603	(9.041, 10.114)	3.358	(3.118, 3.64)	4.017	(1.09, 6.974)	0.939	(0.192, 1.92)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.481	(0.4, 0.566)	0.646	(0.571, 0.707)	0.734	(0.661, 0.897)	0.794	(0.727, 0.929)	0.842	(0.776, 0.955)	0.88	(0.819, 0.973)	0.913	(0.857, 0.986)	0.942	(0.89, 0.994)	0.966	(0.921, 0.998)	0.988	(0.958, 1.0)
MYB	8.0	mix_4	7.012	(6.725, 7.441)	3.377	(3.103, 3.678)	1.643	(1.346, 1.995)	1.72	(1.332, 2.282)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.105	(0.083, 0.129)	0.212	(0.188, 0.237)	0.298	(0.272, 0.324)	0.376	(0.347, 0.404)	0.45	(0.416, 0.487)	0.524	(0.485, 0.563)	0.6	(0.559, 0.64)	0.68	(0.631, 0.723)	0.768	(0.712, 0.814)	0.881	(0.829, 0.92)
MYB	8.0	mix_5	8.868	(8.319, 9.346)	3.37	(3.024, 3.739)	3.04	(2.237, 4.097)	1.241	(0.788, 1.755)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.333	(0.282, 0.376)	0.486	(0.437, 0.522)	0.582	(0.533, 0.619)	0.657	(0.606, 0.701)	0.72	(0.666, 0.773)	0.775	(0.721, 0.833)	0.826	(0.771, 0.884)	0.874	(0.823, 0.928)	0.92	(0.877, 0.963)	0.968	(0.939, 0.991)
PDE6A	1.0	mix_1	7.674	(7.29, 8.056)	3.318	(3.056, 3.678)	4.137	(3.09, 5.886)	16.498	(12.441, 24.983)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.076	(0.063, 0.095)	0.111	(0.1, 0.126)	0.136	(0.125, 0.149)	0.158	(0.148, 0.169)	0.18	(0.17, 0.19)	0.202	(0.192, 0.213)	0.226	(0.213, 0.239)	0.255	(0.236, 0.27)	0.293	(0.266, 0.312)	0.36	(0.319, 0.39)
PDE6A	1.0	mix_2	11.417	(10.921, 11.864)	3.318	(3.058, 3.626)	21.244	(9.295, 84.241)	21.43	(9.191, 91.334)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.361	(0.307, 0.429)	0.411	(0.374, 0.453)	0.442	(0.413, 0.471)	0.467	(0.443, 0.491)	0.489	(0.466, 0.514)	0.511	(0.485, 0.535)	0.533	(0.503, 0.562)	0.558	(0.517, 0.593)	0.589	(0.534, 0.632)	0.639	(0.557, 0.694)
PDE6A	1.0	mix_3	14.879	(14.002, 15.684)	3.354	(3.091, 3.641)	29.393	(6.825, 99.0)	7.502	(1.636, 26.916)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.644	(0.562, 0.746)	0.71	(0.662, 0.775)	0.745	(0.713, 0.798)	0.771	(0.743, 0.822)	0.793	(0.762, 0.848)	0.82	(0.78, 0.871)	0.843	(0.796, 0.901)	0.863	(0.808, 0.922)	0.885	(0.823, 0.945)	0.916	(0.843, 0.973)
PDE6A	1.0	mix_4	10.925	(10.462, 11.397)	3.333	(3.074, 3.654)	2.031	(1.734, 2.4)	2.338	(1.884, 2.964)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.123	(0.104, 0.144)	0.222	(0.201, 0.246)	0.297	(0.275, 0.321)	0.364	(0.341, 0.391)	0.428	(0.403, 0.459)	0.492	(0.465, 0.524)	0.558	(0.527, 0.593)	0.629	(0.593, 0.666)	0.712	(0.671, 0.751)	0.828	(0.785, 0.864)
PDE6A	1.0	mix_5	13.741	(13.114, 14.339)	3.316	(2.959, 3.664)	4.779	(3.436, 6.798)	2.059	(1.364, 3.076)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.395	(0.35, 0.452)	0.518	(0.482, 0.554)	0.592	(0.559, 0.624)	0.649	(0.617, 0.686)	0.699	(0.667, 0.739)	0.744	(0.711, 0.788)	0.786	(0.752, 0.832)	0.829	(0.795, 0.875)	0.875	(0.838, 0.918)	0.932	(0.895, 0.965)
PDE6A	2.0	mix_1	8.21	(7.834, 8.608)	3.617	(3.324, 3.934)	3.665	(2.63, 5.118)	14.329	(10.259, 20.093)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.072	(0.056, 0.09)	0.108	(0.093, 0.125)	0.134	(0.12, 0.15)	0.158	(0.145, 0.172)	0.181	(0.17, 0.194)	0.204	(0.193, 0.218)	0.231	(0.218, 0.243)	0.261	(0.245, 0.277)	0.302	(0.28, 0.323)	0.375	(0.342, 0.407)
PDE6A	2.0	mix_2	12.158	(11.547, 12.755)	3.594	(3.337, 3.854)	12.855	(7.774, 21.588)	12.563	(7.502, 20.882)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.1	(0.1, 0.1)	0.341	(0.297, 0.387)	0.401	(0.366, 0.431)	0.437	(0.411, 0.46)	0.467	(0.444, 0.487)	0.494	(0.471, 0.513)	0.519	(0.494, 0.54)	0.546	(0.517, 0.57)	0.576	(0.54, 0.606)	0.612	(0.57, 0.649)	0.671	(0.617, 0.718)
